256 num, 512 num, 768 num, avg unet time
3,0,0,3.111730051
4,0,0,3.142693138
5,0,0,3.177035046
6,0,0,3.162003851
7,0,0,3.202713108
8,0,0,3.299714994
9,0,0,3.48728137
10,0,0,3.566926193
11,0,0,3.677670527
12,0,0,3.956864452
13,0,0,4.06904788
14,0,0,4.190833282
15,0,0,4.395379448
16,0,0,4.528893614
17,0,0,4.695384884
18,0,0,4.904192209
19,0,0,5.091599131
20,0,0,5.221285009
21,0,0,5.417738914
22,0,0,5.625324774
23,0,0,5.824233246
24,0,0,6.127877331
25,0,0,6.290173674
26,0,0,6.536452103
27,0,0,6.747625732
28,0,0,6.894447041
0,1,0,3.178813839
0,2,0,3.439115191
0,3,0,3.91304884
0,4,0,4.670200586
0,5,0,5.507986498
0,6,0,6.425829887
0,7,0,7.497366238
0,8,0,8.713306856
0,9,0,9.95149641
0,10,0,11.1602303
0,0,1,3.870010519
0,0,2,5.917341471
0,0,3,8.37939887
0,0,4,11.14295783
0,0,5,14.1571938
3,13,0,16.23672099
1,9,2,17.07965469
0,10,2,18.40111499
27,0,3,16.48178692
4,6,0,8.063530159
15,0,4,16.32648997
22,5,2,18.53675222
37,1,0,11.19405465
20,7,0,13.83453226
14,6,0,10.87286015
37,0,1,13.35812268
11,1,3,13.17583737
18,0,2,10.91580195
5,2,3,12.6748045
13,3,1,10.06079168
27,6,0,14.68339429
16,1,3,14.66511507
6,3,3,14.3660923
10,2,0,5.610282278
12,11,0,16.36606383
21,0,1,8.89089427
1,0,3,9.186287785
14,6,1,14.06134048
14,9,0,14.63876524
30,6,0,15.39739075
9,2,1,7.980637121
18,1,4,18.71239634
16,8,0,13.95578027
34,3,0,12.95612259
16,4,0,9.074961758
16,3,2,14.07402978
37,3,0,13.79474511
17,2,2,13.19648967
15,8,0,13.6949904
23,5,0,12.36109433
49,2,0,16.35404863
41,4,0,16.49033966
17,5,1,13.73937745
22,9,0,17.16224942
28,0,3,16.81375403
1,0,0,2.949229193
3,2,2,9.423169279
21,5,0,11.55341349
34,3,0,13.0155304
19,0,2,11.10706382
3,4,0,5.958808565
8,4,2,12.94320879
25,2,1,12.2066926
5,9,2,18.5835556
18,3,2,14.6239109
5,6,1,11.36242385
10,0,1,6.20454073
30,5,0,14.24987812
35,1,1,14.0571949
10,2,1,8.202629232
23,3,2,15.95338211
19,3,1,11.75524087
33,2,0,11.28924398
39,1,1,15.00550375
11,0,1,6.260335112
1,8,1,12.77338371
24,2,1,11.91094069
19,4,0,9.739459991
49,0,1,17.09278498
33,4,0,13.92547126
5,1,5,17.78701472
23,1,0,7.492207241
16,4,3,18.64867172
21,4,0,10.36103907
8,12,0,16.44253564
17,1,3,15.06885314
47,1,1,17.75303178
52,1,0,15.4714417
14,0,3,12.81060534
4,2,5,19.02846403
24,0,4,19.1688066
40,0,0,10.92377782
23,5,1,15.35895467
18,0,0,5.351622486
0,2,2,8.444318056
8,5,3,17.20577135
10,2,3,14.28951364
25,2,3,18.9271234
1,0,6,18.34245753
1,4,3,14.13966107
0,2,2,8.431913233
16,6,1,14.69227519
8,0,2,8.248109198
11,9,1,16.80687585
11,5,1,12.03757315
3,0,3,9.961739874
19,1,1,9.473896408
24,8,0,16.04530678
10,6,1,13.03996277
15,5,0,9.89040041
2,2,1,6.490913343
2,13,0,15.96839366
16,1,1,8.825593328
7,5,3,17.06449189
59,0,0,16.72715993
28,3,0,11.08788419
29,0,0,8.067296696
